no,title,verdict,reason,guid,repeat,calls,balance_before_krw,balance_after_krw,balance_delta_krw
1,일반 상담(case_id 없음) — 순수 토큰 종량제 × 10배(klaw-flash) 차감 검증,LIVE-PASS,"30회 누적 토큰 794752h/3728m/888o → 기대 누적 차감 44.9380원, 실제 차감 45원 (허용오차 15.0원 이내)",2601:db80:c342:fd1b:bc4a:2dce:9ed8:04b6,30,30,3257,3212,45
2,사건단위 필드(case_id+claim_amount_krw+step_cycle) 동반 — 베타 중엔 여전히 토큰 종량제여야 함(정액 폴백 회귀 방지),LIVE-FAIL,"4번째 호출 HTTP 429 (기대 200) — body: {""ok"": false, ""error"": ""KLAW_STEP_LIMIT_EXCEEDED"", ""message"": ""오늘 판결 시뮬레이션 생성 한도(3회)를 모두 사용했습니다. 내일 다시 이용해 주세요."", ""detail"": ""오늘 판결 시뮬레이션 생성 한도(3회)를 모두 사용했습니다. 내일 다시 이용해 주세요.""}",2601:db80:c342:fd1b:bc4a:2dce:9ed8:04b6,30,4,3212,,
